Compare;Size;Assignment
493323;982;742437
494274;983;743866
496211;984;746774
496580;985;747330
498365;986;750010
500168;987;752717
501741;988;755079
503526;989;757759
504287;990;758903
504504;991;759231
506353;992;762007
506480;993;762200
507541;994;763794
508262;995;764878
508755;996;765620
510322;997;767973
512049;998;770566
512712;999;771563
513485;1000;772725
